"model","p","config","mean_total_time","mean_fit_time","mean_pred_time"
"Competing Risks",5,"Default",61.1649893124899,59.3608965873719,1.804092725118
"Competing Risks",5,"Enhanced",251.281221946081,243.077609697978,8.20361224810282
"Competing Risks",5,"Minimal",7.54028717676798,7.06516059239706,0.475126584370931
"Competing Risks",10,"Default",62.1620189348855,60.459189971288,1.70282896359762
"Competing Risks",10,"Enhanced",260.298763593038,252.036703983943,8.26205960909526
"Competing Risks",10,"Minimal",7.62941233317056,7.162650346756,0.466761986414591
"Competing Risks",20,"Default",65.3793516159056,63.6182025273641,1.76114908854167
"Competing Risks",20,"Enhanced",266.827533165614,258.528010129929,8.29952303568521
"Competing Risks",20,"Minimal",7.95854751269024,7.47362287839253,0.484924634297689
"Survival",5,"Default",0.943922281265259,0.84318240483602,0.10073987642924
"Survival",5,"Enhanced",1.94296868642171,1.76083731651306,0.182131369908651
"Survival",5,"Minimal",0.395799001057943,0.339796940485637,0.0560020605723063
"Survival",10,"Default",0.97179404894511,0.869270960489907,0.1025230884552
"Survival",10,"Enhanced",1.93598731358846,1.73716926574707,0.19881804784139
"Survival",10,"Minimal",0.371346235275269,0.322388966878255,0.0489572683970133
"Survival",20,"Default",1.03932309150696,0.932302395502726,0.107020696004232
"Survival",20,"Enhanced",2.04190993309021,1.83520158131917,0.206708351771037
"Survival",20,"Minimal",0.419756015141805,0.364135344823201,0.0556206703186035
