"model","config","n_tests","mean_total_time","sd_total_time","mean_fit_time","mean_pred_time"
"Competing Risks","Default",9,62.902119954427,43.0037327277515,61.146096362008,1.7560235924191
"Competing Risks","Enhanced",9,259.469172901578,184.028409716558,251.214107937283,8.25506496429443
"Competing Risks","Minimal",9,7.70941567420959,5.1383094923348,7.23381127251519,0.475604401694404
"Survival","Default",9,0.985013140572442,0.662163671296572,0.881585253609551,0.103427886962891
"Survival","Enhanced",9,1.97362197770013,1.32942274625036,1.77773605452643,0.195885923173692
"Survival","Minimal",9,0.395633750491672,0.264369826488823,0.342107084062364,0.0535266664293077
